ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,DEALSIZE
10107,30,95.7,2,2871,1,1,2,2003,Motorcycles,95,Small
10121,34,81.35,5,2765.9,1,2,5,2003,Motorcycles,95,Small
10134,41,94.74,2,3884.34,1,3,7,2003,Motorcycles,95,Medium
10145,45,83.26,6,3746.7,1,3,8,2003,Motorcycles,95,Medium
10159,49,100,14,5205.27,1,4,10,2003,Motorcycles,95,Medium
10168,36,96.66,1,3479.76,1,4,10,2003,Motorcycles,95,Medium
10180,29,86.13,9,2497.77,1,4,11,2003,Motorcycles,95,Small
10188,48,100,1,5512.32,1,4,11,2003,Motorcycles,95,Medium
10201,22,98.57,2,2168.54,1,4,12,2003,Motorcycles,95,Small
10211,41,100,14,4708.44,1,1,1,2004,Motorcycles,95,Medium
10223,37,100,1,3965.66,1,1,2,2004,Motorcycles,95,Medium
10237,23,100,7,2333.12,1,2,4,2004,Motorcycles,95,Small
10251,28,100,2,3188.64,1,2,5,2004,Motorcycles,95,Medium
10263,34,100,2,3676.76,1,2,6,2004,Motorcycles,95,Medium
10275,45,92.83,1,4177.35,1,3,7,2004,Motorcycles,95,Medium
10285,36,100,6,4099.68,1,3,8,2004,Motorcycles,95,Medium
10299,23,100,9,2597.39,1,3,9,2004,Motorcycles,95,Small
10309,41,100,5,4394.38,1,4,10,2004,Motorcycles,95,Medium
10318,46,94.74,1,4358.04,1,4,11,2004,Motorcycles,95,Medium
10329,42,100,1,4396.14,1,4,11,2004,Motorcycles,95,Medium
10341,41,100,9,7737.93,1,4,11,2004,Motorcycles,95,Large
10361,20,72.55,13,1451,1,4,12,2004,Motorcycles,95,Small
10375,21,34.91,12,733.11,1,1,2,2005,Motorcycles,95,Small
10388,42,76.36,4,3207.12,1,1,3,2005,Motorcycles,95,Medium
10403,24,100,7,2434.56,1,2,4,2005,Motorcycles,95,Small
10103,26,100,11,5404.62,1,1,1,2003,Classic Cars,214,Medium
10112,29,100,1,7209.11,1,1,3,2003,Classic Cars,214,Large
10126,38,100,11,7329.06,1,2,5,2003,Classic Cars,214,Large
10140,37,100,11,7374.1,1,3,7,2003,Classic Cars,214,Large
10150,45,100,8,10993.5,1,3,9,2003,Classic Cars,214,Large
